anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,27,W11,1741,1741,1473240.1900000009,1478,0,Tabasco
2018,27,W17,568,568,755682.9300000006,492,0,Tabasco
2018,27,W18,578,578,814745.5000000006,522,0,Tabasco
2018,7,W16,1227,1227,1532727.9000000006,1190,0,Chiapas
2018,7,W20,479,479,751325.1999999998,462,0,Chiapas
2018,7,W8,6980,6980,4193071.0200000056,6414,0,Chiapas
2018,8,W3,240356,240356,48074892.63000001,218187,0,Chihuahua
2018,8,W14,5691,5691,6190804.750000002,5238,0,Chihuahua
2018,8,W17,3673,3673,4879132.150000003,3443,0,Chihuahua
2018,18,W2,58592,58592,6619267.56999959,48620,0,Nayarit
2018,18,W9,2369,2369,1616950.1800000016,2064,0,Nayarit
2018,10,W2,114859,114859,13169327.239999702,104342,0,Durango
2018,10,W12,1842,1842,1705780.42,1653,0,Durango
2018,10,W18,739,739,1041993.6399999999,692,0,Durango
2018,29,W6,5010,5010,2222256.0800000015,4187,0,Tlaxcala
2018,29,W16,486,486,605966.8199999997,459,0,Tlaxcala
2018,29,W24,126,126,238582.08999999988,116,0,Tlaxcala
2018,29,W21,146,146,240701.72,140,0,Tlaxcala
2018,29,W19,207,207,308044.7199999999,194,0,Tlaxcala
2018,1,W6,18372,18372,8114337.6499999855,17311,0,Aguascalientes
2018,1,W8,10018,10018,6034485.68999999,9395,0,Aguascalientes
2018,1,W25,3300,3300,6639043.249999998,3235,0,Aguascalientes
2018,1,W22,456,456,790998.7900000004,438,0,Aguascalientes
2018,2,,2067,0,0.0,2067,189447,Baja California
2018,2,W13,6635,6635,6683022.000000005,6178,0,Baja California
2018,2,W1,792,792,69518.4100000002,686,0,Baja California
2018,11,W8,23941,23941,14431055.790000008,20820,0,Guanajuato
2018,11,W3,216683,216683,42788865.599999875,178297,0,Guanajuato
2018,11,W2,380450,380450,44001347.189998314,334067,0,Guanajuato
2018,11,W13,6302,6302,6342311.759999995,5570,0,Guanajuato
2018,11,W19,2241,2241,3337826.299999999,2043,0,Guanajuato
2018,12,W25,1913,1913,3849421.2399999998,1841,0,Guerrero
2018,12,W15,700,700,816568.21,600,0,Guerrero
2018,14,W4,199657,199657,55830928.280000396,165977,0,Jalisco
2018,17,W25,2240,2240,4506279.609999999,2133,0,Morelos
2018,17,W9,4668,4668,3200302.7700000033,4080,0,Morelos
2018,17,W17,894,894,1186996.8600000003,843,0,Morelos
2018,19,W14,12630,12630,13726840.259999992,11665,0,Nuevo León
2018,19,W18,7582,7582,10681980.560000006,7146,0,Nuevo León
2018,20,W6,8411,8411,3702860.289999989,6929,0,Oaxaca
2018,20,W12,1726,1726,1599691.2300000011,1467,0,Oaxaca
2018,20,W19,419,419,623323.7399999995,377,0,Oaxaca
2018,20,W20,288,288,451736.36999999994,269,0,Oaxaca
2018,21,W19,1606,1606,2390304.4699999997,1422,0,Puebla
2018,24,W5,35837,35837,12887515.959999971,28955,0,San Luis Potosí
2018,25,W24,457,457,864429.3500000001,423,0,Sinaloa
2018,30,W5,48964,48964,17667597.770000003,41328,0,Veracruz de Ignacio de la Llave
2018,30,W20,1935,1935,3038815.3399999994,1810,0,Veracruz de Ignacio de la Llave
2018,30,W17,4106,4106,5450808.1999999955,3890,0,Veracruz de Ignacio de la Llave
2018,31,W5,16729,16729,6019090.579999993,15107,0,Yucatán
2018,31,W18,786,786,1105906.85,757,0,Yucatán
